,index,year,month,day,publishedAt,headline,summary,source,url,API
0,0,2025,1,17,2025-01-17 12:15:00,Columbia Select Large Cap Value Fund Q4 2024 Commentary," Institutional Class shares of Columbia Select Large Cap Value Fund returned -2.51%
for the quarter ending December 31, 2024. Click here to read the full commentary. ",SeekingAlpha,https://finnhub.io/api/news?id=ce3d2320fd9258ccb20c4d994464f987c99420aedad188a12d2b81d981e676da,finnhub_news
1,1,2025,1,17,2025-01-17 04:40:45,Tesla Needs To Fill A Trillion Dollar Void With Autonomy (Rating Downgrade),"Tesla's stock surge driven by autonomy excitement, but risks of unmet promises and overvaluation could lead to a downgrade to sell. See more here.",SeekingAlpha,https://finnhub.io/api/news?id=0bea96a6c4191b9490de507eb59608acfe0d97e4ba6c5901604f1c84ab204dcd,finnhub_news
2,2,2025,1,17,2025-01-17 02:35:00,"Earnings Gains Anticipated In 7 S&P 500 Sectors, Led By Communication Services",Seven of the S&P 500's 11 sectors are expected to achieve cumulative year-over-year growth in normalized earnings per share among their constituent companies in fourth quarter 2024 earnings,SeekingAlpha,https://finnhub.io/api/news?id=f6737372d5a3fcce82a8010d8fec55679f7ef49dbf5eabdf18994e7f828bf725,finnhub_news
3,3,2025,1,16,2025-01-16 14:13:00,Battery-Powered Cars Had a Banner Year. There’s a Risk for Car Stocks.,Battery-Powered Cars Had a Banner Year. There’s a Risk for Car Stocks.,MarketWatch,https://finnhub.io/api/news?id=0d393aa57c7d63191bb675c27d9ffa098c74eca4f6c9d4448e0be994392344fc,finnhub_news
4,4,2025,1,16,2025-01-16 13:23:24,Tech stocks a drag on equities,Tech stocks a drag on equities,MarketWatch,https://finnhub.io/api/news?id=38d204d792243db3ac02ca621907d889dc4b41db45b72ea4df78b84829a82559,finnhub_news
5,5,2025,1,16,2025-01-16 13:11:00,"New Year, Same Bull. Why the Rally Isn’t Done.","New Year, Same Bull. Why the Rally Isn’t Done.",MarketWatch,https://finnhub.io/api/news?id=ff1f84ced5619a47984dfa725a05615b4e96cd35f07e73b6e81d69493eb3bdf1,finnhub_news
6,7,2025,1,16,2025-01-16 12:39:18,"Big Tech ETF trades down as Tesla, Apple post sharp losses","Big Tech ETF trades down as Tesla, Apple post sharp losses",MarketWatch,https://finnhub.io/api/news?id=7b6c2fd239c2d5e3f39cbe9a9f0639aafeda3bea86c0fbcee71265c4f02699a0,finnhub_news
7,8,2025,1,16,2025-01-16 11:25:00,Exclusive: Cannabis groups combine to push for federal reforms under Trump,Exclusive: Cannabis groups combine to push for federal reforms under Trump,MarketWatch,https://finnhub.io/api/news?id=6cb450fbacde4d045544a1f058c72777b25e2759aca267b561da4e07e061e40e,finnhub_news
8,9,2025,1,16,2025-01-16 11:17:47,Stocks turn lower as early gains fade,Stocks turn lower as early gains fade,MarketWatch,https://finnhub.io/api/news?id=4a9a2e93338422a1723205fc9dd8c931e2a47868b4294ea9ef31b1a43c05fe25,finnhub_news
9,10,2025,1,16,2025-01-16 11:00:00,Large cryptocurrencies mixed as Ripple increases,Large cryptocurrencies mixed as Ripple increases,MarketWatch,https://finnhub.io/api/news?id=9fcc77170ef342f0282e2024d039719e7dc3f11d2319bf3687c0e5f76c1952d5,finnhub_news
