,Date,Year,Month,Day,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2020-07-13 00:00:00-04:00,2020,7,13,205.49022766452694,206.75490787235915,197.84470746926797,198.3908233642578,38135600,0.0,0.0
1,2020-07-14 00:00:00-04:00,2020,7,14,197.49019051020417,200.09618452631085,193.56203368055372,199.6171417236328,37591800,0.0,0.0
2,2020-07-15 00:00:00-04:00,2020,7,15,200.7764543960133,202.47227032572638,196.43632696748918,199.32015991210938,32179400,0.0,0.0
3,2020-07-16 00:00:00-04:00,2020,7,16,196.79078061823034,197.07820922824786,193.8302995592707,195.37281799316406,29940700,0.0,0.0
4,2020-07-17 00:00:00-04:00,2020,7,17,195.8997563460039,196.44585751522288,192.94885105600204,194.37640380859375,31635300,0.0,0.0
5,2020-07-20 00:00:00-04:00,2020,7,20,196.40755546562454,203.40158353531893,194.50095978623176,202.73092651367188,36884800,0.0,0.0
6,2020-07-21 00:00:00-04:00,2020,7,21,204.70458556764095,204.97284838282866,199.31055862517906,200.00038146972656,37990400,0.0,0.0
7,2020-07-22 00:00:00-04:00,2020,7,22,200.43149741397403,203.40156851523614,199.65545044485876,202.87461853027344,49605700,0.0,0.0
8,2020-07-23 00:00:00-04:00,2020,7,23,198.50578178831807,202.07943741473576,193.67702159409754,194.05067443847656,67457000,0.0,0.0
9,2020-07-24 00:00:00-04:00,2020,7,24,192.01955073187074,194.3572823797303,189.2315175967975,192.8626708984375,39827000,0.0,0.0
10,2020-07-27 00:00:00-04:00,2020,7,27,193.02550720665892,195.4207212092042,192.4410744052688,195.30575561523438,30160900,0.0,0.0
11,2020-07-28 00:00:00-04:00,2020,7,28,195.0758584701724,196.12016852717332,193.28424262749832,193.55250549316406,23251400,0.0,0.0
12,2020-07-29 00:00:00-04:00,2020,7,29,194.0123315708133,196.07220973733158,193.54286436977003,195.50694274902344,19632600,0.0,0.0
13,2020-07-30 00:00:00-04:00,2020,7,30,192.5751954494533,195.89017788318162,191.20514013089678,195.3536376953125,25079600,0.0,0.0
14,2020-07-31 00:00:00-04:00,2020,7,31,195.83274233836838,196.5034141302799,190.66866017987502,196.41717529296875,51044000,0.0,0.0
15,2020-08-03 00:00:00-04:00,2020,8,3,202.6542875887838,208.5177672855925,201.6195532977186,207.4638671875,78983000,0.0,0.0
16,2020-08-04 00:00:00-04:00,2020,8,4,205.19318712810264,205.76804432439195,201.4949762006801,204.35006713867188,49280100,0.0,0.0
17,2020-08-05 00:00:00-04:00,2020,8,5,205.89261028578034,205.9884247031007,202.70219778204324,204.0147705078125,28806400,0.0,0.0
18,2020-08-06 00:00:00-04:00,2020,8,6,203.43992709157922,207.30101154094825,202.68304577244257,207.2818603515625,32656800,0.0,0.0
19,2020-08-07 00:00:00-04:00,2020,8,7,205.8447085853178,206.6590726195856,202.08899995716098,203.57403564453125,27820400,0.0,0.0
20,2020-08-10 00:00:00-04:00,2020,8,10,202.7979828765569,202.9991872906506,197.70097494382514,199.52133178710938,36716500,0.0,0.0
21,2020-08-11 00:00:00-04:00,2020,8,11,198.4770314224895,198.9464840457062,194.62552292567963,194.85546875,36446500,0.0,0.0
22,2020-08-12 00:00:00-04:00,2020,8,12,196.68539329251882,201.46624586718303,196.16803348282602,200.42193603515625,28013100,0.0,0.0
23,2020-08-13 00:00:00-04:00,2020,8,13,200.66144219118792,202.49138912091325,199.42550363100096,199.95245361328125,22588900,0.0,0.0
24,2020-08-14 00:00:00-04:00,2020,8,14,200.00992684021358,200.8051395719377,198.81231994651307,200.14405822753906,17958900,0.0,0.0
25,2020-08-17 00:00:00-04:00,2020,8,17,200.8147563394942,202.3381090011182,200.16325050116794,201.46624755859375,20184800,0.0,0.0
26,2020-08-18 00:00:00-04:00,2020,8,18,201.70575023579792,203.45904855150602,200.4410849082599,202.62551879882812,21336200,0.0,0.0
27,2020-08-19 00:00:00-04:00,2020,8,19,203.1153521518743,203.70119775008826,200.96404715991875,201.39622497558594,27627600,0.51,0.0
28,2020-08-20 00:00:00-04:00,2020,8,20,201.24253011907706,206.48632892012674,200.63748712036835,206.0829620361328,26981500,0.0,0.0
29,2020-08-21 00:00:00-04:00,2020,8,21,205.39149643815162,207.6868557841031,204.42149605209858,204.5847625732422,36249300,0.0,0.0
30,2020-08-24 00:00:00-04:00,2020,8,24,206.28467404070597,206.98577783077045,204.01812544971222,205.22824096679688,25460100,0.0,0.0
31,2020-08-25 00:00:00-04:00,2020,8,25,204.66159869274037,208.032603228624,204.66159869274037,207.8981475830078,23043700,0.0,0.0
32,2020-08-26 00:00:00-04:00,2020,8,26,209.25230434048552,213.29558685143772,208.75289140749118,212.39280700683594,39600800,0.0,0.0
33,2020-08-27 00:00:00-04:00,2020,8,27,214.06391898104908,221.99683117871206,210.71211201268858,217.60780334472656,57602200,0.0,0.0
34,2020-08-28 00:00:00-04:00,2020,8,28,219.14443155423294,221.5070259544178,217.60779777645126,219.8455352783203,26292900,0.0,0.0
